Sample_Id	Site1_Hugo_Symbol	Site2_Hugo_Symbol	Center	Event_Info	DNA_support	RNA_support	Method	Connection_Type	SV_Status	Group
P-8969		CDKN2A	OrigiMed	Intergenic-CDKN2A	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5226		CDKN2A	OrigiMed	Intergenic-CDKN2A	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4004		CDKN2A	OrigiMed	Intergenic-CDKN2A	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4329	CDKN2A	CDKN2A	OrigiMed	CDKN2A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2413	CDKN2A	CDKN2A	OrigiMed	CDKN2A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0981	LOC340512	CDKN2A	OrigiMed	LOC340512-CDKN2A	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8895	CDKN2A	STON2	OrigiMed	CDKN2A-STON2	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8183	MTAP	CDKN2A	OrigiMed	MTAP-CDKN2A	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7616	CDKN2A	CDKN2BAS1	OrigiMed	CDKN2A-CDKN2BAS1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-10086	CDKN2BAS1	CDKN2A	OrigiMed	CDKN2BAS1-CDKN2A	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6462	CDKN2A	CDKN2A	OrigiMed	CDKN2A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9205	MTAP	CDKN2A	OrigiMed	MTAP-CDKN2A	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1146		CDKN2A	OrigiMed	Intergenic-CDKN2A	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6605	CDKN2A	CDKN2BAS1	OrigiMed	CDKN2A-CDKN2BAS1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5785	CDKN2A	CDKN2A	OrigiMed	CDKN2A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8942	CDKN2A	CDKN2A	OrigiMed	CDKN2A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6171		CDKN2A	OrigiMed	Intergenic-CDKN2A	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2904	CDKN2A	CDKN2A	OrigiMed	CDKN2A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5814	CDKN2A	CDKN2A	OrigiMed	CDKN2A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1041	CDKN2A	CDKN2A	OrigiMed	CDKN2A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9890	CDKN2A	CDKN2A	OrigiMed	CDKN2A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7139	CDKN2A	CDKN2BAS1	OrigiMed	CDKN2A-CDKN2BAS1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4370	CDKN2A	CDKN2A	OrigiMed	CDKN2A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1190	CDKN2A	CDKN2A	OrigiMed	CDKN2A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9332	CDKN2A		OrigiMed	CDKN2A-Intergenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9103	CDKN2A	CDKN2A	OrigiMed	CDKN2A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1394	CDKN2A	CDKN2A	OrigiMed	CDKN2A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5811	CDKN2A	CDKN2BAS1	OrigiMed	CDKN2A-CDKN2BAS1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7552	CDKN2B		OrigiMed	CDKN2B-Intergenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8418	MTAP	CDKN2B	OrigiMed	MTAP-CDKN2B	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8402	CDKN2B	CDKN2B	OrigiMed	CDKN2B-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2970	CDKN2B	CDKN2B	OrigiMed	CDKN2B-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3166	CDKN2B	CDKN2B	OrigiMed	CDKN2B-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8090	CDKN2B	MIR31HG	OrigiMed	CDKN2B-MIR31HG	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5300	CDKN2B		OrigiMed	CDKN2B-Intergenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1591	CDKN2B	CDKN2B	OrigiMed	CDKN2B-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5686	CDKN2B	CDKN2B	OrigiMed	CDKN2B-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4424	CDKN2B	CDKN2B	OrigiMed	CDKN2B-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8164	CDKN2B	CDKN2B	OrigiMed	CDKN2B-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5192	POU6F2	CDKN2B	OrigiMed	POU6F2-CDKN2B	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9074	CDKN2B	CDKN2B	OrigiMed	CDKN2B-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0123	MTAP	CDKN2B	OrigiMed	MTAP-CDKN2B	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3983	CDKN2B	CDKN2A	OrigiMed	CDKN2B-CDKN2A	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1786	CDKN2B	CDKN2B	OrigiMed	CDKN2B-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0400	CDKN2B	CDKN2B	OrigiMed	CDKN2B-CDKN2B	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5458	CDKN2B	CDKN2B	OrigiMed	CDKN2B-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8800	CDKN2B	CDKN2B	OrigiMed	CDKN2B-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1487	CDKN2B	MTAP	OrigiMed	CDKN2B-MTAP	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9275	CEBPA	ZNF345	OrigiMed	CEBPA-ZNF345	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2435	HCG17	CEBPA	OrigiMed	HCG17-CEBPA	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0803	CEBPA	CEBPA	OrigiMed	CEBPA-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2435	CEBPA	CEBPA	OrigiMed	CEBPA-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2841	CFTR	CFTR	OrigiMed	CFTR-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0878	CTTNBP2	CFTR	OrigiMed	CTTNBP2-CFTR	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0528	CFTR	CFTR	OrigiMed	CFTR-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5883	ATP5D	CFTR	OrigiMed	ATP5D-CFTR	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7769	CFTR	CFTR	OrigiMed	CFTR-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0110	CFTR	CFTR	OrigiMed	CFTR-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8709		CFTR	OrigiMed	Intergenic-CFTR	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9548	CFTR	CFTR	OrigiMed	CFTR-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0703	CAPZA2	CFTR	OrigiMed	CAPZA2-CFTR	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7191	CFTR	CTTNBP2	OrigiMed	CFTR-CTTNBP2	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7156	CHD2	YWHAE	OrigiMed	CHD2-YWHAE	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1338	CHD2	CHD2	OrigiMed	CHD2-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6568	CHD2	CHD2	OrigiMed	CHD2-CHD2	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2071	CHD2	CHD2	OrigiMed	CHD2-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4928	CHD2	CHD2	OrigiMed	CHD2-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2029	CHD2	CHD2	OrigiMed	CHD2-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3005	CHD2	SH3GL3	OrigiMed	CHD2-SH3GL3	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2659	CHD2	CHD2	OrigiMed	CHD2-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6178	CHD2	CHD2	OrigiMed	CHD2-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0804	CHD2	CHD2	OrigiMed	CHD2-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7709	CHD2	CHD2	OrigiMed	CHD2-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4202	ANO2	CHD4	OrigiMed	ANO2-CHD4	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7852	CHD4	CHD4	OrigiMed	CHD4-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9196		CHD4	OrigiMed	Intergenic-CHD4	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4202	CHD4	SIDT1	OrigiMed	CHD4-SIDT1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5883	CHD4	RAB6A	OrigiMed	CHD4-RAB6A	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1429	CHD4	CHD4	OrigiMed	CHD4-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7988	CHD4	CHD4	OrigiMed	CHD4-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7969	CHD4	CHD4	OrigiMed	CHD4-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8380	ZNF384	CHD4	OrigiMed	ZNF384-CHD4	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0448	CHD4	ZNF384	OrigiMed	CHD4-ZNF384	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7591	CHD4	CHD4	OrigiMed	CHD4-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9173	NOP2	CHD4	OrigiMed	NOP2-CHD4	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1761	DIS3L2	CHD4	OrigiMed	DIS3L2-CHD4	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4980	ANO2	CHD4	OrigiMed	ANO2-CHD4	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6773	CHD4		OrigiMed	CHD4-Intergenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5537	CHD4	LAG3	OrigiMed	CHD4-LAG3	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6042	CHEK2	CHEK2	OrigiMed	CHEK2-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9844	CHEK2	ZNRF3	OrigiMed	CHEK2-ZNRF3	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6474	CHEK2	CHEK2	OrigiMed	CHEK2-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7155	CHEK2	PIWIL3	OrigiMed	CHEK2-PIWIL3	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9646	CHEK2	CHEK2	OrigiMed	CHEK2-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4848	CHEK2	CHEK2	OrigiMed	CHEK2-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4920	CHEK2	CDK11B	OrigiMed	CHEK2-CDK11B	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8522	CHEK2	ZNRF3	OrigiMed	CHEK2-ZNRF3	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9584	MEGF8	CIC	OrigiMed	MEGF8-CIC	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9991	CIC	NUTM1	OrigiMed	CIC-NUTM1	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-7596	MEGF8	CIC	OrigiMed	MEGF8-CIC	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7229	CIC	MED25	OrigiMed	CIC-MED25	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7986	ERF	CIC	OrigiMed	ERF-CIC	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3727	GSK3A	CIC	OrigiMed	GSK3A-CIC	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5166	CIC	CIC	OrigiMed	CIC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6429	ERF	CIC	OrigiMed	ERF-CIC	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1245	CIC	CIC	OrigiMed	CIC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7285	CIC	ZNF587B	OrigiMed	CIC-ZNF587B	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8637	TMEM145	CIC	OrigiMed	TMEM145-CIC	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0798	CIC	DGKD	OrigiMed	CIC-DGKD	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4716	CIC	LIPE	OrigiMed	CIC-LIPE-AS1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6993	CIC	ERF	OrigiMed	CIC-ERF	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4014	COL1A1	COL1A1	OrigiMed	COL1A1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5828	PLXDC1	COL1A1	OrigiMed	PLXDC1-COL1A1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9475	COL1A1	DACH1	OrigiMed	COL1A1-DACH1	yes	no	OrigiFus	unknown	SOMATIC	Novel fusion
P-7598	COL1A1	CA10	OrigiMed	COL1A1-CA10	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1836	COL1A1	COL1A1	OrigiMed	COL1A1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8928	COL1A1		OrigiMed	COL1A1-Intergenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0876	SAMD14	COL1A1	OrigiMed	SAMD14-COL1A1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3611	COL1A1	GALNT1	OrigiMed	COL1A1-GALNT1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3963	COL1A1	FBXO33	OrigiMed	COL1A1-FBXO33	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4402	COL1A1	COL1A1	OrigiMed	COL1A1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8248	CRBN	CRBN	OrigiMed	CRBN-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9314	CRBN	CRBN	OrigiMed	CRBN-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7402		CREB3L1	OrigiMed	Intergenic-CREB3L1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7413	CREB3L1	AMBRA1	OrigiMed	CREB3L1-AMBRA1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9486	CREB3L1	CREB3L1	OrigiMed	CREB3L1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0451	CREB3L1	PHF21A	OrigiMed	CREB3L1-PHF21A	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6703		CREB3L1	OrigiMed	Intergenic-CREB3L1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8466	CREB3L1	CREB3L1	OrigiMed	CREB3L1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5565	DGKZ	CREB3L1	OrigiMed	DGKZ-CREB3L1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6776	CREB3L1	AMBRA1	OrigiMed	CREB3L1-AMBRA1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5778	MS4A13	CREB3L1	OrigiMed	MS4A13-CREB3L1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7881	CREB3L1	CREB3L1	OrigiMed	CREB3L1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1302	CREBBP	CREBBP	OrigiMed	CREBBP-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5778	CREBBP	ADCY9	OrigiMed	CREBBP-ADCY9	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1876	CREBBP	CREBBP	OrigiMed	CREBBP-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7604	CREBBP		OrigiMed	CREBBP-Intergenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0145	CREBBP	LINC00536	OrigiMed	CREBBP-LINC00536	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4229	ANKS3	CREBBP	OrigiMed	ANKS3-CREBBP	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4921	CREBBP	SLX4	OrigiMed	CREBBP-SLX4	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-7985	CREBBP	TRAP1	OrigiMed	CREBBP-TRAP1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4452	CREBBP	CREBBP	OrigiMed	CREBBP-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6953	CREBBP	CREBBP	OrigiMed	CREBBP-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8802	CREBBP	CREBBP	OrigiMed	CREBBP-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1278	CREBBP	CREBBP	OrigiMed	CREBBP-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9502	CREBBP	CREBBP	OrigiMed	CREBBP-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4905	CREBBP	CREBBP	OrigiMed	CREBBP-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0375	CREBBP	CREBBP	OrigiMed	CREBBP-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9947	CREBBP		OrigiMed	CREBBP-Intergenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5315	CREBBP	TRAP1	OrigiMed	CREBBP-TRAP1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8301	CREBBP	CREBBP	OrigiMed	CREBBP-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4441	TRAP1	CREBBP	OrigiMed	TRAP1-CREBBP	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4225	CREBBP	CREBBP	OrigiMed	CREBBP-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8681	CREBBP	SCTR	OrigiMed	CREBBP-SCTR	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7173	CREBBP	SEC14L5	OrigiMed	CREBBP-SEC14L5	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3692	CREBBP	CREBBP	OrigiMed	CREBBP-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5742	CREBBP	CREBBP	OrigiMed	CREBBP-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4821	HPS3	CSF1R	OrigiMed	HPS3-CSF1R	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7262	CSK	EDC3	OrigiMed	CSK-EDC3	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9103	FAH	CSK	OrigiMed	FAH-CSK	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9103	CSK	CSK	OrigiMed	CSK-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6987	ARHGAP11B	CSK	OrigiMed	ARHGAP11B-CSK	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9956	AFAP1L1	CSNK1A1	OrigiMed	AFAP1L1-CSNK1A1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6174	CSNK1A1	CSNK1A1	OrigiMed	CSNK1A1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7043	CTCF	CTCF	OrigiMed	CTCF-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3383	NFATC3	CTCF	OrigiMed	NFATC3-CTCF	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9755	CTNNA1	CTNNA1	OrigiMed	CTNNA1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9276	CTNNA1	CTNNA1	OrigiMed	CTNNA1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9276	CTNNA1	MATR3	OrigiMed	CTNNA1-MATR3	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4905	CTNNA1	CTNNA1	OrigiMed	CTNNA1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0600	CTNNA1	CTNNA1	OrigiMed	CTNNA1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2817	CTNNA1	CTNNA1	OrigiMed	CTNNA1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4423	CTNNA1	FBXO38	OrigiMed	CTNNA1-FBXO38	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3371	CTNNA1	CTNNA1	OrigiMed	CTNNA1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4320	CTNNA1	CTNNA1	OrigiMed	CTNNA1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6659	CTNNA1	SIL1	OrigiMed	CTNNA1-SIL1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9862	CTNNA1	CTNNA1	OrigiMed	CTNNA1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1379	CTNNB1	CTNNB1	OrigiMed	CTNNB1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8035	CTNNB1	CTNNB1	OrigiMed	CTNNB1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7292	CUL3	FAM124B	OrigiMed	CUL3-FAM124B	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4178	CUL3	FAM124B	OrigiMed	CUL3-FAM124B	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3368	CUL3	FAM124B	OrigiMed	CUL3-FAM124B	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3705	CYLD	CYLD	OrigiMed	CYLD-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7970	CYLD	CYLD	OrigiMed	CYLD-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6460	CYLD	KAT7	OrigiMed	CYLD-KAT7	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8040	CYP2D6	FAM118A	OrigiMed	CYP2D6-FAM118A	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9423	CYP2D6	STARD13	OrigiMed	CYP2D6-STARD13	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1787	CELA3B	DAXX	OrigiMed	CELA3B-DAXX	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2445	DAXX	DAXX	OrigiMed	DAXX-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7101	CASR	DAXX	OrigiMed	CASR-DAXX	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1787	KIF7	DAXX	OrigiMed	KIF7-DAXX	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2755	HCG22	DDR1	OrigiMed	HCG22-DDR1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9123	SLC35B2	DDR1	OrigiMed	SLC35B2-DDR1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6203		DDR1	OrigiMed	Intergenic-DDR1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8293	CPED1	DDR2	OrigiMed	CPED1-DDR2	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0160	BCL11B	DICER1	OrigiMed	BCL11B-DICER1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5863	DICER1	DICER1	OrigiMed	DICER1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2943	DICER1	DICER1	OrigiMed	DICER1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4452	CLMN	DICER1	OrigiMed	CLMN-DICER1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5719	CCDC7	DICER1	OrigiMed	CCDC7-DICER1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3519	DICER1	CLMN	OrigiMed	DICER1-CLMN	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9301	DNMT3A	DNMT3A	OrigiMed	DNMT3A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5786	DNMT3A	DTNB	OrigiMed	DNMT3A-DTNB	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0283	DPYD	DPYD	OrigiMed	DPYD-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6346	DPYD	LINC01360	OrigiMed	DPYD-LINC01360	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9809	DPYD	DPYD	OrigiMed	DPYD-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0564	DPYD	CLCA2	OrigiMed	DPYD-CLCA2	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1549	EGFR		OrigiMed	EGFR-Intergenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9768	EGFR		OrigiMed	EGFR-Intergenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3672	EGFR		OrigiMed	EGFR-Intergenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8324	EGFR	SEPTIN14	OrigiMed	EGFR-SEPT14	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-7320	EGFR	EGFR	OrigiMed	EGFR-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4561	EGFR		OrigiMed	EGFR-Intergenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
